,0.2.09.10.M,0.2.08.10.M,0.2.07.10.M,0.2.06.10.M,0.2.05.10.M,0.2.04.10.M,0.2.03.10.M,0.2.02.10.M,0.2.01.10.M,0.2.15.10.M,0.2.46.10.M,0.2.14.10.M,0.2.45.10.M,0.2.13.10.M,0.2.44.10.M,0.2.12.10.M,0.2.43.10.M,0.2.11.10.M,0.2.42.10.M,0.2.10.10.M,0.2.41.10.M,0.2.20.10.M
2003-03-01,1092.7,402.4,670.4,829.3,939,662.4,490.6,365.1,4424.6,664.4,1574.2,909.8,1839.2,712.8,1092.7,584.9,1072.8,251.4,2430.7,290.1,5280.2,13289.7
2003-04-01,1222.4,416.2,728.2,798.6,891.5,678.9,475.1,378.8,4317.6,703.3,1589.1,885.8,1851.6,720.2,1222.4,602.4,1144.4,261.4,2368.9,267.6,5171.5,13347.9
2003-05-01,1237.1,440.5,747.7,824.7,993.1,722.1,474.3,366.8,4475.2,723.6,1657.4,933.8,1958.4,761.5,1237.1,645.4,1188.2,264.9,2539.9,286.5,5316.3,13897.3
2003-06-01,1237.9,419.1,711.4,814.2,1037.1,744.4,448.8,356.7,4089.9,701.9,1554.2,852.4,1870.4,718.7,1237.9,610.5,1130.4,268,2595.6,273.2,4895.4,13284
2003-07-01,1182,431.3,698.8,867.6,1049.7,757.8,497.8,373.2,4425.9,746,1699.4,953.3,2021.9,760.6,1182,666.6,1130.1,277.5,2675.1,317.3,5296.9,14005.4
2003-08-01,1101.2,425.6,671.6,917.6,1021.2,726.3,500.9,368.2,4417.6,742.3,1737.8,995.5,2045.1,779.8,1101.2,665.3,1097.2,272.4,2665.2,327.5,5286.8,13933.3
2003-09-01,1198.2,446.9,719.4,983.8,992.6,750.3,504.2,377.6,4310.3,725.4,1709.4,984.1,2063.2,804.9,1198.2,667.2,1166.3,272,2726.7,319.1,5192.1,14055.9
2003-10-01,1316.1,492.1,778.1,1032.9,1082.7,788.1,520.6,408.2,4655.1,773.7,1878.4,1104.7,2236.2,869,1316.1,742.3,1270.2,300.5,2903.8,324.4,5583.9,15188.7
2003-11-01,1528.2,515,804.3,1048.9,1109.3,790,516.5,426.7,4555.6,746.5,1838.4,1091.9,2322,919.4,1528.2,738.2,1319.3,329.6,2948.3,334.8,5498.8,15455
2003-12-01,2424.2,707.9,1146.7,1202.4,1597.5,850.6,590.8,621.8,5057.2,821.5,2048.3,1226.8,3137.1,1287.5,2424.2,886.3,1854.6,514.5,3650.5,448.8,6269.7,19384.4
2004-01-01,1182.9,454.9,762.1,927.1,1153.8,749,534.4,406,4829.5,803.2,1895.2,1092,2039.8,764.1,1182.9,642,1217,306.5,2829.9,327.1,5769.9,14934.7
2004-02-01,989.8,402.3,630.8,850.6,1029.8,665.1,494.9,368.7,4448.1,722,1765.8,1043.8,1942.6,739.7,989.8,622.1,1033.1,264.4,2545.4,316.4,5311.8,13588.5
2004-03-01,1131.4,438.6,692.3,916.7,1084,745.5,522.2,399.7,4680.6,744,1872.8,1128.7,2117.1,779.6,1131.4,703.6,1130.9,293.4,2746.3,340.5,5602.4,14600.9
2004-04-01,1277.1,425,765.7,869,1006.2,694,540.7,406.6,4680.4,788.5,1873.7,1085.2,2013.5,736.3,1277.1,683.7,1190.7,274.6,2569.2,318.9,5627.7,14552
2004-05-01,1280.3,449.8,815.8,878.2,1066,730.9,513.5,378.8,4649.9,768.7,1846.2,1077.5,2075.5,764.3,1280.3,713.5,1265.6,269.8,2675.2,327.9,5542.3,14685.1
2004-06-01,1384.1,445.8,815.4,865.8,1162.7,765.3,508.3,382.8,4515.2,748.3,1758.5,1010.2,2075,754,1384.1,708.5,1261.2,292.2,2793.8,320.3,5406.3,14679
2004-07-01,1305.9,465.1,768.2,901,1150.5,791.7,517.2,406.3,4799.1,811.9,1878.2,1066.3,2171.6,779,1305.9,735.4,1233.3,304.2,2843.3,352.9,5722.7,15154.9
2004-08-01,1166.8,461.7,723.3,919.6,1122.7,755.8,512.1,402,4655.3,787.5,1850.1,1062.7,2162.3,788.5,1166.8,742.6,1185,284.7,2798.1,346.6,5569.3,14731.7
2004-09-01,1317.9,479.7,792.8,977.5,1094.7,775.9,515.8,409.9,4697.1,808,1921.5,1113.5,2221.4,823.9,1317.9,758.8,1272.5,294.8,2848,343.9,5622.8,15204.1
2004-10-01,1358.3,507,817.9,1071.5,1171.4,835.4,543.2,442.4,4834.1,809.4,1914.5,1105.1,2273.3,860.4,1358.3,765.5,1324.9,309.9,3078.3,337.5,5819.7,15769.1
2004-11-01,1536.7,519,830.8,1075.4,1261.9,847.7,551.9,446.3,4755.3,768.7,1839.9,1071.2,2352.9,895.9,1536.7,780.4,1349.9,327.9,3185.1,348.7,5753.4,16017.9
2004-12-01,2500.8,735.3,1179.9,1248.4,1733.5,895.5,651.5,699.1,5402.5,843.5,2041.9,1198.4,3209.8,1286.2,2500.8,940.5,1915.2,503.2,3877.3,480,6753.1,20298.1
2005-01-01,1246.3,485.1,788.6,966.5,1179.6,817.1,544.2,404.1,4762.1,795.5,1798.7,1003.2,2074.7,784,1246.3,629.6,1273.7,301.8,2963.1,359.3,5710.3,15066.7
2005-02-01,1037.3,430,625.6,856.7,1039.8,726.4,510.5,389.4,4436.5,713.7,1661.2,947.5,1979.9,737.2,1037.3,635.9,1055.6,265.1,2622.9,341.7,5336.4,13693.5
2005-03-01,1300.8,453.1,757.4,932.3,1095.4,755.2,567.6,442.6,4926.2,770.6,1780.3,1009.7,2117.9,771,1300.8,698.2,1210.4,304,2782.9,344.6,5936.5,15128.9
2005-04-01,1153.7,448.9,772.5,895.1,1115.2,777.1,564.5,430.7,4715.7,792.8,1809,1016.2,2060.3,741,1153.7,679.9,1221.3,302.1,2787.4,337.2,5710.9,14742.6
2005-05-01,1264.2,473,836,890.6,1170.4,818.3,539.1,409,4712.9,784.8,1788.9,1004.2,2098.2,766,1264.2,698.2,1308.9,290.4,2879.3,343.6,5661,15000.6
2005-06-01,1454.2,460,850.1,872.9,1264.1,832.3,531.4,416.2,4635.2,779.2,1768.9,989.7,2074.5,741.2,1454.2,685.4,1310.1,313.9,2969.3,334,5582.8,15159.8
2005-07-01,1290.1,458.5,778.8,883.7,1221.5,859.3,545.1,435.3,4908.1,835.3,1869,1033.8,2090,745.5,1290.1,686.2,1237.2,296.5,2964.4,361.8,5888.5,15339.3
2005-08-01,1210.7,462,773.9,937.4,1205.9,841.2,553.9,446.2,4929.4,806.9,1813.4,1006.5,2125.1,773.1,1210.7,696.7,1235.8,297.3,2984.4,358,5929.6,15299
2005-09-01,1277.8,469.3,846.3,959.6,1187.6,823.8,555,459.7,4916.7,805.7,1845.8,1040.2,2094.3,765.7,1277.8,678.3,1315.5,298.3,2971,351.9,5931.4,15436
2005-10-01,1314.4,506.3,862.5,1053.3,1206.9,839,591.4,469.5,5039.1,848.8,1978.1,1129.3,2142.3,806.9,1314.4,694.5,1368.8,304.5,3099.2,336.4,6100.1,16002.8
2005-11-01,1540.4,524.1,876.8,1102,1308.5,842.4,593.9,504.1,4973.3,830.4,1965,1134.5,2290.4,872.4,1540.4,729,1400.9,331.1,3252.9,357.9,6071.2,16520.8
2005-12-01,2536,717,1241.3,1258.8,1898.6,930.6,697.2,744.6,5641.7,909.4,2152.8,1243.4,3136.2,1228.5,2536,899.3,1958.3,531.1,4088.1,477.3,7083.5,20955
2006-01-01,1193.7,481.7,807.5,956,1280.2,799.8,604.4,462.2,5047,834.2,1913.8,1079.5,2068.4,747,1193.7,661.7,1289.2,318.3,3036,341.4,6113.6,15614.7
2006-02-01,1037.7,430.1,654.2,885,1082.6,725,570.6,432.8,4700.6,732,1750.1,1018.1,1962.4,724.7,1037.7,650.9,1084.3,265.9,2692.5,320.9,5704.1,14231
2006-03-01,1204.5,480.8,762,964.5,1190.1,798.8,626.3,486.3,5222.5,818.7,1983.8,1165.1,2149.1,780.4,1204.5,732.4,1242.8,302.5,2953.4,333.8,6335.1,15868.7
2006-04-01,1348.6,470.2,820.2,916.4,1120.8,766.9,594.8,480.6,5063.9,831.6,1966.5,1135,2070.2,755.4,1348.6,707.5,1290.5,300.6,2804.1,306.7,6139.3,15619.2
2006-05-01,1267.6,497.4,851.6,923.1,1276.8,826.3,593.3,479.8,5060.2,819.9,2005.1,1185.2,2177.8,789.8,1267.6,761.4,1349,304,3026.2,322.6,6133.3,15959
2006-06-01,1429,495.7,851.2,906.9,1383.9,857.4,575.6,482.6,5013.4,817.3,1943.6,1126.4,2167.3,783.2,1429,746.4,1346.9,318.8,3148.2,318.9,6071.6,16106.6
2006-07-01,1412,487.2,816.8,902.5,1332.4,885.5,573,508,5116.4,848.2,2019.2,1170.9,2161.5,776.6,1412,748,1304,309.2,3120.4,327.7,6197.4,16214.5
2006-08-01,1239.2,499.6,825.3,958.5,1307.1,884.6,589.9,525.4,5253.2,852.1,2043.2,1191.1,2275.9,829.2,1239.2,796.5,1324.9,315.1,3150.1,335.1,6368.5,16401.9
2006-09-01,1219.1,504.7,879.5,973.5,1327.3,895.3,586.3,538.8,5171.8,845.2,2038.7,1193.5,2213.6,816.1,1219.1,758.7,1384.2,318.8,3196.1,320,6296.9,16348.7
2006-10-01,1344.6,546.4,917.9,1057.3,1346.9,942.6,630.1,551.9,5385.2,857.8,2113.3,1255.5,2319.4,838.5,1344.6,808.7,1464.3,340,3346.8,332.3,6567.2,17155.7
2006-11-01,1623.3,549.5,936.6,1070.2,1464.2,959.7,635.2,591,5388,846.9,2109.4,1262.5,2473.4,903.6,1623.3,836.8,1486.1,376.3,3494,356.7,6614.2,17800.4
2006-12-01,2611.1,765.8,1290.9,1188,2072,1041.3,742.9,869.3,5957.5,903.8,2297.3,1393.5,3306.8,1260.4,2611.1,977.6,2056.6,602,4301.3,466.7,7569.8,22142.8
2007-01-01,1267.3,491.9,862.7,993.5,1419.1,919.7,662.3,550.1,5426.1,869.4,2097.1,1227.7,2165.5,770,1267.3,709.8,1354.6,351.8,3332.3,333.9,6638.4,16855.2
2007-02-01,1047,441,724,913.7,1252,797.8,628,519.6,5025.3,780.4,1939,1158.7,2044,730.7,1047,684.4,1165,311.9,2963.4,317.1,6172.9,15331.4
2007-03-01,1331.6,492,876.3,975.3,1433.7,874.3,682.9,577.1,5603,881,2191.9,1310.9,2279.5,795.7,1331.6,772.2,1368.3,365.7,3283.3,346,6863,17317.7
2007-04-01,1302.6,471,888.1,909.8,1263.4,837,687.2,557.7,5355.1,874.8,2134,1259.2,2108.5,742.2,1302.6,726.6,1359.1,335.1,3010.1,304.7,6600,16514.4
2007-05-01,1365.1,507.9,922.3,938.3,1391.3,910.2,676.9,540.4,5474.4,881.7,2145.5,1263.8,2228.1,793.8,1365.1,777.5,1430.3,335.8,3239.8,321,6691.7,17100.4
2007-06-01,1491.5,494.4,967.1,911.5,1531.3,956.1,649,522.9,5346.1,892.7,2133.8,1241.1,2180.3,756.8,1491.5,762,1461.5,352,3399,309.6,6518,17184.1
2007-07-01,1462.3,504.8,922.7,948.6,1463.2,921.8,688.9,547.8,5514.4,936.2,2178.4,1242.2,2284.2,792.3,1462.3,802.5,1427.6,346.1,3333.5,343.3,6751.1,17437
2007-08-01,1315.5,514,892.8,1008.1,1492.3,933.2,701.3,564.4,5735.5,951.7,2257.9,1306.1,2386.6,836.3,1315.5,859.8,1406.8,351.8,3433.6,338.8,7001.1,17801.5
2007-09-01,1353.3,531,928.1,1067.1,1450.9,925.3,681.6,598.8,5567,917.7,2179.5,1261.8,2321,861.9,1353.3,781.8,1459.1,360.9,3443.2,316.4,6847.4,17603.5
2007-10-01,1440.6,576.8,984.3,1140.5,1454,996.9,697.8,612.8,5834.1,922.4,2257.3,1334.9,2535.3,913.5,1440.6,881.2,1561.1,374,3591.4,366.6,7144.7,18530.4
2007-11-01,1687.9,615.5,1002.3,1138.7,1612.9,1022.7,685,638.1,5926.9,913.5,2284.6,1371.1,2692.3,985.9,1687.9,916.2,1617.8,405.6,3774.4,384.6,7250,19307.1
2007-12-01,2747,822.7,1381.5,1282.8,2308.9,1093,809.2,905.9,6439.1,967.9,2461.1,1493.2,3582.4,1367.6,2747,1064.5,2204.2,643.4,4684.7,506.9,8154.3,23833.7
2008-01-01,1397.8,565.1,896,1002.2,1564.3,968.6,631.3,627.2,5947.9,916.6,2163.5,1246.9,2437.1,839,1397.8,806,1461.1,406.4,3535.1,385.8,7206.3,18201
2008-02-01,1140.5,521.4,756.7,939.2,1331.2,872.5,615.7,543.7,5628.4,875.7,2086.7,1210.9,2355.5,827.6,1140.5,801.7,1278.1,344.7,3142.9,381.4,6787.8,16791.4
2008-03-01,1351.7,521.3,832.6,973,1372.9,866.6,642,617.6,6056.2,915.7,2159.4,1243.7,2414.5,832.8,1351.7,836.9,1353.9,368.5,3212.5,376.3,7315.8,17807.9
2008-04-01,1396.6,524.8,961.9,945.3,1437.2,856,602.7,564.1,5715.9,926.6,2148.2,1221.6,2390.5,795.5,1396.6,873.9,1486.7,359,3238.4,362.1,6882.6,17543
2008-05-01,1421.1,556.6,985.3,941.6,1501.7,905.9,617.3,567,5979.3,943.8,2176.7,1232.9,2530.9,852.2,1421.1,935,1541.9,359.9,3349.2,383.9,7163.6,18183.5
2008-06-01,1401.6,508,894.5,925,1602,916.7,585.8,552.5,5623.5,913.5,2089.9,1176.4,2378.4,780.7,1401.6,882.5,1402.5,360.7,3443.7,354.4,6761.8,17477.9
2008-07-01,1582.3,518.3,942.1,961.6,1547.4,904.9,632.4,565.7,6042.4,958.5,2172.6,1214.1,2521.7,807.6,1582.3,965.5,1460.4,343.1,3413.8,405.6,7240.5,18391.2
2008-08-01,1268.4,513.1,906.2,1001.8,1526.3,882.9,655.5,564.5,6135.4,966.2,2204,1237.9,2540,832.7,1268.4,967.1,1419.4,340.9,3411,399.3,7355.4,18198.2
2008-09-01,1383.3,518.2,950.2,1023,1441.6,863.2,653.5,584.5,5857.7,936.6,2124.2,1187.7,2485.9,825.8,1383.3,937.2,1468.3,338.2,3327.8,384.7,7095.7,17885.2
2008-10-01,1452.4,580.7,966.7,1089.7,1512.7,928.2,680.8,688.9,6273.1,1013.4,2302.4,1289.1,2668.9,910.5,1452.4,980.7,1547.4,390.7,3530.5,387,7642.8,19144.5
2008-11-01,1675.9,596.8,997.3,1094.3,1584.2,917.1,679.7,704.9,6245.4,987.5,2242.8,1255.4,2740,968.8,1675.9,963,1594.1,418.9,3595.6,389.3,7630.1,19478.5
2008-12-01,2886.1,839.5,1469.2,1340.9,2549.8,1017.9,842.6,1004.6,6937.8,1076.3,2479.4,1403.1,3816.6,1386.2,2886.1,1195.2,2308.7,696.9,4908.6,538.3,8784.9,25184.3
2009-01-01,1451,558.6,984.5,1051.5,1579.9,929.3,634.4,738,6613,1023.2,2318.3,1295.1,2525.9,837.7,1451,907,1543.2,392.7,3560.7,388.5,7985.3,19384.5
2009-02-01,1056.6,476.2,782.9,888.1,1300,780.1,607,621.8,5922.5,910.7,2069.5,1158.8,2349.1,785.9,1056.6,879.5,1259.1,320.5,2968.2,363.2,7151.3,16853.8
2009-03-01,1386.9,551.9,966.7,994.3,1441.7,865.6,666.4,676.4,6489.7,1021.2,2303.2,1282,2585.3,859.6,1386.9,980.2,1518.6,370.5,3301.6,375,7832.4,18927.9
2009-04-01,1509.1,530.8,1048.9,974.7,1361.6,867.6,665.4,670.2,6375.1,1039.1,2326.9,1287.8,2519,839.5,1509.1,976.9,1579.8,379.9,3203.9,322.8,7710.6,18849.3
2009-05-01,1519.4,594.4,1114.9,989.1,1484.7,905.9,646.5,665.5,6451.2,1055.6,2401.7,1346.1,2624.2,893.1,1519.4,1022.4,1709.3,372.2,3379.7,336.6,7763.2,19397.5
2009-06-01,1500.5,526.4,1041.6,957.1,1685.1,978.4,626.8,646.7,6125.7,1006.6,2263,1256.4,2551.6,860.9,1500.5,995.1,1568,366.4,3620.6,329.3,7399.3,18902.9
2009-07-01,1570.7,499,1015.7,940.1,1567,945.2,632.8,657.3,6435.5,1101.9,2415.1,1313.1,2682.3,914.2,1570.7,1062.8,1514.7,358.9,3452.3,346.3,7725.6,19360.6
2009-08-01,1341.5,510.2,988.1,1013,1534.3,920.4,648.5,672,6487,1116.5,2446.1,1329.5,2595.8,899.7,1341.5,1014,1498.2,345,3467.7,337.1,7807.5,19156.7
2009-09-01,1399.9,521.6,1015.6,1064.1,1433,909,641.6,678.4,6315.9,1119,2430.7,1311.8,2620.5,916.3,1399.9,1014,1537.2,365.1,3406.1,325.2,7635.8,19030.3
2009-10-01,1534.3,592.5,1039,1156.8,1508.7,975.9,682.8,716.4,6710.5,1175.7,2602,1426.3,2775.7,967.4,1534.3,1098.7,1631.4,375.8,3641.4,333.8,8109.7,20294.6
2009-11-01,1736.6,599.3,1093.2,1146.3,1680.3,960.6,709,752.2,6742.8,1131,2569.9,1438.9,2849.8,1045.2,1736.6,1060.7,1692.5,413.7,3787.3,330.2,8204,20840.1
2009-12-01,2795.1,981.2,1512.5,1198,2379.4,1128.6,918.9,1029,7301,1284.9,2897.1,1612.2,3817.7,1341.7,2795.1,1306.1,2493.6,698.8,4706,471,9249,25958.5
2010-01-01,1469.1,587.5,958.4,1021.3,1578.1,961.5,632.4,737.4,6723.6,1178.5,2521.3,1342.8,2601.3,894.6,1469.1,941.3,1545.9,392.1,3561,373.3,8093.4,19792
2010-02-01,1111.9,506.6,766.9,897,1292.1,863.4,578.4,626.7,6038,1026.3,2323.9,1297.6,2426.4,845.6,1111.9,920.5,1273.6,309.7,3052.5,350.6,7243.1,17431.5
2010-03-01,1379.9,527.1,925.2,1012.8,1403.1,906.9,632.6,709,6676.2,1135.7,2607.5,1471.8,2709.9,913.2,1379.9,1063.6,1452.3,362.7,3322.8,370.5,8017.8,19490.3
2010-04-01,1389.7,537.5,970,1010.3,1364.8,838.7,625.5,698.2,6511.8,1149.4,2535.8,1386.4,2549.6,848,1389.7,1018.2,1507.5,344.4,3213.8,339,7835.6,19032
2010-05-01,1427.2,600.9,1052.6,1004,1464.7,891.4,620.8,673.4,6593.4,1150.9,2571.4,1420.6,2633.7,899.6,1427.2,1045.9,1653.6,339,3360.1,349.2,7887.6,19533.6
2010-06-01,1551.4,551.1,1007.5,974.5,1625.1,992.1,588.7,657.7,6281.5,1151.7,2504.9,1353.2,2604.6,861.1,1551.4,1043.6,1558.6,355.8,3591.7,344.1,7527.9,19339.1
2010-07-01,1581,571,1008,965.6,1541.6,973.6,600.2,687.3,6756.8,1235.2,2781.3,1546.1,2765.1,927.8,1581,1101.5,1579,370.2,3480.7,365.6,8044.4,20231.6
2010-08-01,1324,547.6,963.4,1020.7,1526,951,602.6,690.8,6631.3,1209.6,2800,1590.4,2803.4,961.4,1324,1112.3,1511,354.3,3497.8,375.4,7924.7,19860.8
2010-09-01,1422,576.7,1033.4,1110.4,1436.1,929.7,607.2,722.6,6525.6,1192.4,2742.8,1550.4,2809.9,975.1,1422,1099.2,1610.1,375,3476.1,360.6,7855.4,19916.3
2010-10-01,1464.9,549,1045.6,1221.1,1451.6,1019.4,645.2,757.4,6837,1220.6,2730.2,1509.7,2854.1,982.1,1464.9,1123.3,1594.6,362,3692.1,386.7,8239.5,20575.4
2010-11-01,1705.5,573.3,1083,1216.7,1566.2,1048.1,654.4,790.1,6843.7,1180.9,2684.4,1503.5,2998.3,1054.6,1705.5,1134,1656.3,412.4,3831,397.4,8288.1,21163.7
2010-12-01,2752.4,974.6,1572.2,1303,2345.8,1190.7,839.1,1138.4,7514.3,1319.9,3021.1,1701.2,3947.6,1351.9,2752.4,1333.3,2546.8,688.7,4839.5,573.8,9491.8,26599.2
2011-01-01,1412.6,550.5,948.6,1088.6,1431.1,938.6,635.2,774.7,6993.8,1174.9,2598.2,1423.3,2692,945.1,1412.6,974.5,1499,359.1,3458.3,413.3,8403.6,20063.7
2011-02-01,1117.5,482.7,809.1,980.5,1216.7,868.4,610.6,673.8,6365.1,1047.9,2391.3,1343.4,2563.6,930.4,1117.5,954.5,1291.8,287.7,3065.6,391,7649.6,18079.3
2011-03-01,1321.6,515.3,962.9,1098,1340.4,926.7,649.2,743.5,6892.3,1162,2648.9,1486.9,2835,1006,1321.6,1086.1,1478.2,326.4,3365.1,416.5,8285,19933.8
2011-04-01,1472.6,535.7,1014.3,1056.4,1264,932.6,663.8,756.8,6790.7,1150.8,2598.9,1448,2747.2,977,1472.6,1074.3,1549.9,346.6,3253.1,349.4,8211.3,19833
2011-05-01,1408.9,560.1,1066,1050.5,1372.3,968.8,641.2,703.7,6714,1139.4,2604.1,1464.7,2798.4,1008.9,1408.9,1129.6,1626.1,303.8,3391.7,356,8059,19888.1
2011-06-01,1471.9,538.9,1007,1021.8,1472.9,1036.6,630.2,684.9,6563.2,1112.3,2519.5,1407.2,2791.4,1008.5,1471.9,1116,1545.9,332.1,3531.3,334.8,7878.3,19738.3
2011-07-01,1532.5,495.6,960.6,1022,1414.2,1027.1,650.1,740.9,6924.1,1182.2,2701.9,1519.7,2950.6,1055.2,1532.5,1157.7,1456.2,367.1,3463.3,370.6,8315.2,20419.6
2011-08-01,1293.5,489.6,931.1,1136.4,1407.5,1034.6,687.7,753.1,6919.5,1169.8,2739.6,1569.8,2995.6,1078.6,1293.5,1196,1420.7,346,3578.6,375,8360.3,20388.3
2011-09-01,1345.7,515.7,984.3,1208.8,1379,1026.1,668.9,769.8,6835.4,1173.3,2744.3,1571,2997.8,1109.8,1345.7,1171.4,1500,370.9,3613.9,345.6,8274.2,20475.9
2011-10-01,1404.7,539.3,1027.3,1310.1,1420.2,1038.7,665.5,800.4,7140.4,1191.6,2814.4,1622.8,3022.4,1130.2,1404.7,1176.2,1566.6,375.4,3769,340.6,8606.3,21183.4
2011-11-01,1660,556.5,1055.5,1290,1529.6,1101,669.4,852,7048.5,1157,2784.2,1627.2,3317.5,1324.8,1660,1191.9,1612,449.8,3920.7,351.1,8569.9,21864.2
2011-12-01,2730.5,965.5,1611.6,1383.2,2235.8,1248.7,837.1,1235.5,7863.4,1291.3,3046.6,1755.2,4267.6,1626.8,2730.5,1437.5,2577.1,713.7,4867.7,489.7,9936,27425.4
2012-01-01,1362.4,555.3,980.9,1127.2,1432,981.4,619.5,806.7,7108.6,1180.6,2729.5,1548.9,2826,1042,1362.4,1054.4,1536.3,364.6,3540.6,365.1,8534.8,20529.6
2012-02-01,1131.7,486.8,822,1016.1,1254.7,874.1,630,735.2,6753.8,1072,2556,1484,2810.8,1039.1,1131.7,1084.2,1308.8,312.9,3144.9,374.5,8119.1,19071.2
2012-03-01,1349.2,512.9,998.6,1087.8,1388.8,919.8,655.4,800.4,7280.7,1192.8,2839.3,1646.5,3035.1,1102,1349.2,1191.4,1511.5,351.5,3396.4,390.3,8736.6,20868.1
2012-04-01,1391.2,520.9,996.8,1058.3,1252.4,869.7,654.9,773.4,6970.9,1164.8,2737.4,1572.6,2803,997.5,1391.2,1150.8,1517.7,329.1,3180.4,325.6,8399.2,20028.9
2012-05-01,1456.9,595,1100.7,1075.8,1419.7,940.3,646.7,755.1,7048.9,1192.2,2836.7,1644.6,2997.2,1078.5,1456.9,1236.3,1695.7,323.5,3435.8,359,8450.7,20873.1
2012-06-01,1616.4,570.6,1077,1057.7,1517.3,1004.6,634.3,738.3,6897.1,1201.4,2784.8,1583.3,2980.1,1086.4,1616.4,1233.3,1647.6,332.8,3579.5,327.6,8269.7,20878.1
2012-07-01,1423.4,528.8,1018.1,1113.6,1480.3,1007.2,646.7,746.2,7107.5,1229.4,2932.2,1702.9,2960.6,1038.1,1423.4,1244.9,1546.9,338.1,3601.1,339.5,8500.4,20964.6
2012-08-01,1359,546.7,984.7,1200.2,1443.9,983,678.7,776.7,7332.5,1231.8,2962.7,1730.9,3083.9,1060.6,1359,1313.6,1531.4,355.8,3627.1,353.9,8787.9,21352
2012-09-01,1367.8,545.3,1020.2,1293.6,1391,954.4,664.8,785.7,7132.3,1197.2,2885.9,1688.7,2999.1,1043.5,1367.8,1246.1,1565.6,377.6,3639,331.9,8582.8,21040.2
2012-10-01,1442.6,545.7,1074.2,1350,1383.7,991.6,740.1,806.4,7435.5,1228.5,2966.7,1738.1,3113.9,1096.3,1442.6,1292.9,1619.9,382.9,3725.3,341.8,8982,21850.4
2012-11-01,1672.9,565,1117.8,1310.3,1543.2,997.9,726.3,865.7,7456.5,1236.4,2973.1,1736.7,3451.5,1331.5,1672.9,1319,1682.8,441.4,3851.4,359.7,9048.5,22680.2
2012-12-01,2753.3,974.2,1641.6,1435.8,2201.7,1122.7,854.3,1254.8,8153,1330,3177.5,1847.5,4107.5,1520.2,2753.3,1462.7,2615.7,686.1,4760.2,438.5,10262.1,27676.4
2013-01-01,1397.4,574.2,1038.9,1206.2,1482.5,980.4,707.9,824.9,7534.8,1200.1,2849.6,1649.5,2913.7,1048.6,1397.4,1138.3,1613.2,389.1,3669.1,337.7,9067.6,21510.6
2013-02-01,1113.6,496.6,851.5,1053.4,1282.3,865.4,663.9,714.1,6886.8,1067.4,2607.7,1540.3,2764.4,987,1113.6,1112,1348.1,319.3,3201.1,346.1,8264.8,19299.8
2013-03-01,1397.3,501.5,947.3,1158,1340.2,894.9,720.6,843.8,7707.6,1232.9,2924,1691.1,2975.3,1075.2,1397.3,1196.9,1448.8,362.9,3393.1,340.2,9272,21410.5
2013-04-01,1339.1,502.8,1075.3,1151.7,1292.1,876.4,713,761.3,7140.7,1189.6,2853.5,1663.9,2895.3,1039.8,1339.1,1187.3,1578,380.3,3320.2,287.8,8614.9,20601.1
2013-05-01,1441.9,555.3,1162.7,1145.5,1383.9,926.9,738.1,751.9,7386.4,1215.8,2901.5,1685.8,3086.8,1130.3,1441.9,1300.8,1718,357.2,3456.3,298.5,8876.5,21481
2013-06-01,1537.4,536.7,1104.4,1109.5,1502.8,989.8,686.5,732.5,7097.9,1204.6,2813,1608.4,2873.9,1051.8,1537.4,1211.1,1641.1,343.8,3602.2,267.2,8516.9,20984.5
2013-07-01,1390.6,510.1,1082.8,1172.9,1486.2,983.2,704.9,766.3,7384.6,1238.3,2968.4,1730.1,3024.2,1128.5,1390.6,1254.7,1592.9,359.3,3642.3,281.7,8855.8,21474.2
2013-08-01,1337.2,537.9,1080.5,1283.6,1476.4,966.1,731.4,798.8,7657.9,1286,3065.1,1779.1,3089.2,1102.3,1337.2,1297.2,1618.4,387.2,3726.1,302.5,9188.1,22024
2013-09-01,1359.4,531.9,1144.7,1307.4,1382.6,934.9,718.7,789.1,7331.3,1232.1,2988.7,1756.6,3063.1,1109.4,1359.4,1276.9,1676.6,404.5,3624.9,272.2,8839.1,21551.9
2013-10-01,1463.3,541.7,1249.6,1424.7,1398.7,1021.4,745.5,830.9,7762,1291.8,3175.4,1883.7,3240.5,1215.9,1463.3,1322.1,1791.4,416.1,3844.8,286.4,9338.4,22853.7
2013-11-01,1668.9,576.8,1302.9,1389.8,1557.1,1050.9,732.7,870.8,7742.3,1284.9,3210.8,1925.9,3668.3,1486.3,1668.9,1346.6,1879.7,521.5,3997.8,314,9345.9,23771.3
2013-12-01,2725.5,942.4,1819.5,1538.2,2209.8,1215.7,890.6,1258.8,8707,1388.6,3536.8,2148.2,4293.3,1594.3,2725.5,1508.9,2761.9,791,4963.8,399.2,10856.4,29137.6
2014-01-01,1451,559.6,1158.7,1284.8,1470.5,1055.3,734.6,867,8100,1283.5,3209.1,1925.6,3070.1,1099,1451,1185.4,1718.2,470.7,3810.6,314.9,9701.6,22960.6
2014-02-01,1064.9,482.6,933.9,1177.1,1263.6,921.7,670.4,732.7,7264.9,1112.4,2879.9,1767.4,2903.6,1076.8,1064.9,1153.6,1416.4,362.1,3362.4,311,8667.9,20295
